시도,시군구,지방채,기타,국비,차관,세입수수료,지방비_분류,지방비,year
대전,동구,0,0,0,0,4976000,자체예산,0,2016
대전,중구,0,0,0,0,5435000,자체예산,0,2016
대전,서구,0,0,0,0,9920000,자체예산,0,2016
대전,유성구,0,0,0,0,7898000,자체예산,0,2016
대전,대덕구,0,0,700,0,4044000,자체예산,0,2016
울산,울산,0,0,0,0,6036935,자체예산,32890599,2016
울산,중구,0,0,240300,0,4859000,자체예산,0,2016
울산,남구,0,0,133819,0,8878000,자체예산,0,2016
울산,동구,0,0,240000,0,3655000,자체예산,0,2016
울산,북구,0,0,52800,0,3900000,자체예산,0,2016
울산,울주군,0,0,175409,0,4132000,자체예산,0,2016
세종,세종특별자치시,0,0,1676500,0,2606000,자체예산,17899545,2016
경기,경기,0,0,0,0,0,자체예산,0,2016
경기,수원시,0,0,0,0,23720000,자체예산,0,2016
경기,성남시,0,0,0,0,23545000,자체예산,0,2016
경기,의정부시,0,0,0,0,10306000,자체예산,0,2016
경기,안양시,0,0,0,0,14303000,자체예산,0,2016
경기,부천시,0,0,0,0,13576000,자체예산,0,2016
경기,광명시,0,0,523800,0,3134000,자체예산,0,2016
경기,평택시,0,0,0,0,6500000,자체예산,0,2016
경기,동두천시,0,233654,0,0,1363000,자체예산,0,2016
경기,안산시,0,0,302,0,12623000,자체예산,0,2016
경기,고양시,0,0,0,0,19198000,자체예산,0,2016
경기,과천시,0,0,0,0,736000,자체예산,0,2016
경기,구리시,0,0,0,0,3257000,자체예산,0,2016
경기,남양주시,0,0,0,0,10666000,자체예산,0,2016
경기,오산시,0,0,0,0,2878000,자체예산,0,2016
경기,시흥시,0,0,0,0,8295000,자체예산,0,2016
경기,군포시,0,0,0,0,6628000,자체예산,0,2016
경기,의왕시,0,0,0,0,2963000,자체예산,0,2016
경기,하남시,0,0,50,0,2791000,자체예산,0,2016
경기,용인시,0,0,0,0,26710000,자체예산,0,2016
경기,파주시,0,0,0,0,9730000,자체예산,0,2016
경기,이천시,0,0,488400,0,3334000,자체예산,0,2016
경기,안성시,0,0,0,0,3082000,자체예산,0,2016
경기,김포시,0,0,0,0,5073000,자체예산,0,2016
경기,화성시,0,0,0,0,9921000,자체예산,0,2016
경기,광주시,0,0,2616,0,5662000,자체예산,0,2016
경기,양주시,0,0,650,0,4068000,자체예산,0,2016
경기,포천시,0,0,166600,0,3900000,자체예산,0,2016
경기,여주시,0,0,192229,0,1319000,자체예산,0,2016
경기,연천군,0,0,0,0,823000,자체예산,0,2016
경기,가평군,0,0,0,0,1653000,자체예산,0,2016
경기,양평군,0,0,4500,0,1451000,자체예산,0,2016
충북,충북,0,0,0,0,0,자체예산,0,2016
충북,청주시,0,0,2123500,0,13668000,자체예산,0,2016
충북,충주시,0,0,0,0,4025000,자체예산,0,2016
충북,제천시,0,0,0,0,2063000,자체예산,0,2016
충북,보은군,0,0,0,0,369000,자체예산,0,2016
충북,옥천군,0,0,0,0,626000,자체예산,0,2016
충북,영동군,0,0,0,0,533000,자체예산,0,2016
충북,증평군,0,577254,0,0,575000,자체예산,0,2016
충북,진천군,0,1131380,0,0,1214000,자체예산,0,2016
충북,괴산군,0,0,0,0,373000,자체예산,0,2016
충북,음성군,0,0,231400,0,1334000,자체예산,0,2016
충북,단양군,0,0,0,0,367000,자체예산,0,2016
충남,충남,0,0,0,0,0,자체예산,0,2016
충남,천안시,0,0,3400,0,19542000,자체예산,0,2016
충남,공주시,0,0,73000,0,1221000,자체예산,0,2016
충남,보령시,0,0,0,0,1741000,자체예산,0,2016
충남,아산시,0,0,0,0,4826000,자체예산,0,2016
충남,서산시,0,0,565000,0,2537000,자체예산,0,2016
충남,논산시,0,0,924000,0,1807000,자체예산,0,2016
충남,계룡시,0,0,0,0,664000,자체예산,0,2016
충남,당진시,0,0,103900,0,2816000,자체예산,0,2016
충남,금산군,0,0,0,0,364000,자체예산,0,2016
충남,부여군,0,0,353500,0,524000,자체예산,0,2016
충남,서천군,0,0,723600,0,616000,자체예산,0,2016
충남,청양군,0,0,0,0,175000,자체예산,0,2016
충남,홍성군,0,0,0,0,1569000,자체예산,0,2016
충남,예산군,0,0,48000,0,1102000,자체예산,0,2016
충남,태안군,0,0,242000,0,1101000,자체예산,0,2016
전북,전북,0,0,0,0,0,자체예산,0,2016
전북,전주시,0,0,2719630,0,14890000,자체예산,0,2016
전북,군산시,0,0,0,0,5577000,자체예산,0,2016
전북,익산시,0,0,0,0,4296000,자체예산,0,2016
전북,정읍시,0,0,343140,0,1398000,자체예산,0,2016
전북,남원시,0,0,1040490,0,992000,자체예산,0,2016
전북,김제시,0,665638,430900,0,637000,자체예산,0,2016
전북,완주군,0,0,368704,0,1048000,자체예산,0,2016
전북,진안군,0,0,0,0,227000,자체예산,0,2016
전북,무주군,0,0,267170,0,312000,자체예산,0,2016
전북,장수군,0,0,142242,0,234000,자체예산,0,2016
전북,임실군,0,0,230650,0,310000,자체예산,0,2016
전북,순창군,0,180938,237960,0,217000,자체예산,0,2016
전북,고창군,0,0,58120,0,687000,자체예산,0,2016
전북,부안군,0,0,0,0,652000,자체예산,0,2016
전남,전남,0,0,0,0,0,자체예산,0,2016
전남,목포시,0,0,0,0,4399000,자체예산,0,2016
전남,여수시,0,0,0,0,4432000,자체예산,0,2016
전남,순천시,0,0,1135754,0,4773000,자체예산,0,2016
전남,나주시,0,0,91000,0,947000,자체예산,0,2016
전남,광양시,0,0,0,0,3001000,자체예산,0,2016
전남,담양군,0,0,0,0,589000,자체예산,0,2016
전남,곡성군,0,0,0,0,280000,자체예산,0,2016
전남,구례군,0,0,0,0,371000,자체예산,0,2016
전남,고흥군,0,0,0,0,697000,자체예산,0,2016
전남,보성군,0,0,0,0,305000,자체예산,0,2016
전남,화순군,0,0,0,0,791000,자체예산,0,2016
전남,장흥군,0,0,0,0,587000,자체예산,0,2016
전남,강진군,0,0,202246,0,397000,자체예산,0,2016
전남,해남군,0,0,400000,0,787000,자체예산,0,2016
전남,영암군,0,0,0,0,736000,자체예산,0,2016
전남,무안군,0,0,1315625,0,1025000,자체예산,0,2016
전남,함평군,0,0,0,0,265000,자체예산,0,2016
전남,영광군,0,0,20090,0,516000,자체예산,0,2016
전남,장성군,0,0,106500,0,474000,자체예산,0,2016
전남,완도군,0,0,2436,0,511000,자체예산,0,2016
전남,진도군,0,0,0,0,231000,자체예산,0,2016
전남,신안군,0,0,1651840,0,169000,자체예산,0,2016
경북,경북,0,21673000,24681000,0,0,자체예산,9288000,2016
경북,포항시,0,0,21171500,0,11588000,자체예산,0,2016
경북,경주시,0,0,3000,0,4123000,자체예산,0,2016
경북,김천시,0,0,0,0,1267000,자체예산,0,2016
경북,안동시,0,0,451780,0,1941000,자체예산,0,2016
경북,구미시,0,0,14500,0,6713000,자체예산,0,2016
경북,영주시,0,0,51000,0,1147000,자체예산,0,2016
경북,영천시,0,0,28000,0,1337000,자체예산,0,2016
경북,상주시,0,0,107000,0,768000,자체예산,0,2016
경북,문경시,0,0,0,0,1036000,자체예산,0,2016
경북,경산시,0,0,129000,0,3616000,자체예산,0,2016
경북,의성군,0,0,60000,0,316000,자체예산,0,2016
경북,청송군,0,0,0,0,73000,자체예산,0,2016
경북,영양군,0,0,0,0,132000,자체예산,0,2016
경북,영덕군,0,0,36000,0,548000,자체예산,0,2016
경북,청도군,0,0,0,0,202000,자체예산,0,2016
경북,고령군,0,0,72000,0,342000,자체예산,0,2016
경북,성주군,0,0,634000,0,394000,자체예산,0,2016
경북,칠곡군,0,0,0,0,1466000,자체예산,0,2016
경북,예천군,0,0,50000,0,409000,자체예산,0,2016
경북,봉화군,0,0,0,0,321000,자체예산,0,2016
경북,울진군,0,0,20000,0,721000,자체예산,0,2016
경북,울릉군,0,0,0,0,74000,자체예산,0,2016
경남,경남,0,0,4158000,0,0,자체예산,1614538,2016
경남,창원시,0,0,2520000,0,29022000,자체예산,0,2016
경남,진주시,0,0,33320,0,6636000,자체예산,0,2016
경남,통영시,0,0,0,0,1179000,자체예산,0,2016
경남,사천시,0,0,592658,0,2345000,자체예산,0,2016
경남,김해시,0,0,0,0,9780000,자체예산,0,2016
경남,밀양시,0,0,67050,0,1790000,자체예산,0,2016
