시도,시군구,소속기관,인원장비,관리인원or장비_대수,year
강원,평창군,자치단체,차량(대),13,2016
강원,정선군,자치단체,차량(대),17,2016
강원,철원군,자치단체,차량(대),14,2016
강원,화천군,자치단체,차량(대),3,2016
강원,양구군,자치단체,차량(대),7,2016
강원,인제군,자치단체,차량(대),21,2016
강원,고성군,자치단체,차량(대),18,2016
강원,양양군,자치단체,차량(대),18,2016
서울,종로구,자가처리,중장비(대),0,2016
서울,중구,자가처리,중장비(대),0,2016
서울,용산구,자가처리,중장비(대),0,2016
서울,성동구,자가처리,중장비(대),0,2016
서울,광진구,자가처리,중장비(대),0,2016
서울,동대문구,자가처리,중장비(대),0,2016
서울,중랑구,자가처리,중장비(대),0,2016
서울,성북구,자가처리,중장비(대),0,2016
서울,강북구,자가처리,중장비(대),0,2016
서울,도봉구,자가처리,중장비(대),0,2016
서울,노원구,자가처리,중장비(대),0,2016
서울,은평구,자가처리,중장비(대),0,2016
서울,서대문구,자가처리,중장비(대),0,2016
서울,마포구,자가처리,중장비(대),0,2016
서울,양천구,자가처리,중장비(대),0,2016
서울,강서구,자가처리,중장비(대),0,2016
서울,구로구,자가처리,중장비(대),0,2016
서울,금천구,자가처리,중장비(대),0,2016
서울,영등포구,자가처리,중장비(대),0,2016
서울,동작구,자가처리,중장비(대),0,2016
서울,관악구,자가처리,중장비(대),0,2016
서울,서초구,자가처리,중장비(대),0,2016
서울,강남구,자가처리,중장비(대),0,2016
서울,송파구,자가처리,중장비(대),0,2016
서울,강동구,자가처리,중장비(대),0,2016
부산,중구,자가처리,중장비(대),0,2016
부산,서구,자가처리,중장비(대),0,2016
부산,동구,자가처리,중장비(대),0,2016
부산,영도구,자가처리,중장비(대),0,2016
부산,부산진구,자가처리,중장비(대),0,2016
부산,동래구,자가처리,중장비(대),0,2016
부산,남구,자가처리,중장비(대),0,2016
부산,북구,자가처리,중장비(대),0,2016
부산,해운대구,자가처리,중장비(대),0,2016
부산,사하구,자가처리,중장비(대),0,2016
부산,금정구,자가처리,중장비(대),0,2016
부산,강서구,자가처리,중장비(대),0,2016
부산,연제구,자가처리,중장비(대),0,2016
부산,수영구,자가처리,중장비(대),0,2016
부산,사상구,자가처리,중장비(대),0,2016
부산,기장군,자가처리,중장비(대),0,2016
대구,중구,자가처리,중장비(대),0,2016
대구,동구,자가처리,중장비(대),0,2016
대구,서구,자가처리,중장비(대),0,2016
대구,남구,자가처리,중장비(대),0,2016
대구,북구,자가처리,중장비(대),0,2016
대구,수성구,자가처리,중장비(대),0,2016
대구,달서구,자가처리,중장비(대),0,2016
대구,달성군,자가처리,중장비(대),0,2016
대구,군위군,자가처리,중장비(대),0,2016
인천,중구,자가처리,중장비(대),0,2016
인천,동구,자가처리,중장비(대),0,2016
인천,미추홀구,자가처리,중장비(대),0,2016
인천,연수구,자가처리,중장비(대),0,2016
인천,남동구,자가처리,중장비(대),0,2016
인천,부평구,자가처리,중장비(대),0,2016
인천,계양구,자가처리,중장비(대),0,2016
인천,서구,자가처리,중장비(대),0,2016
인천,강화군,자가처리,중장비(대),0,2016
인천,옹진군,자가처리,중장비(대),0,2016
광주,동구,자가처리,중장비(대),0,2016
광주,서구,자가처리,중장비(대),0,2016
광주,남구,자가처리,중장비(대),0,2016
광주,북구,자가처리,중장비(대),0,2016
광주,광산구,자가처리,중장비(대),0,2016
대전,동구,자가처리,중장비(대),0,2016
대전,중구,자가처리,중장비(대),0,2016
대전,서구,자가처리,중장비(대),0,2016
대전,유성구,자가처리,중장비(대),0,2016
