,처리업체_소계,총계_소각,자가처리_재활용,자치단체_매립,자치단체_해역배출,자가처리_해역배출,처리업체_매립,구분_시군구,자가처리_소각,자치단체_소계,자가처리_매립,자치단체_소각,총계_매립,자치단체_재활용,처리업체_소각,총계_계,자가처리_소계,처리업체_재활용,총계_해역배출,총계_재활용,처리업체_해역배출,구분_시도
130,47.7,3.8,3.5,0.0,0,0,5.7,청양군,0.0,0.0,0.0,0.0,5.7,0.0,3.8,51.2,3.5,38.2,0.0,41.7,0.0,충남
131,93.6,4.2,0.0,0.0,0,0,11.4,홍성군,0.0,0.0,0.0,0.0,11.4,0.0,4.2,93.6,0.0,78.0,0.0,78.0,0.0,충남
132,141.7,10.2,0.2,7.2,0,0,13.3,예산군,0.0,7.2,0.0,0.0,20.5,0.0,10.2,149.1,0.2,118.2,0.0,118.4,0.0,충남
133,274.4,1.8,2684.4,0.0,0,0,8.7,태안군,0.0,0.0,952.6,0.0,961.3,0.0,1.8,3911.4,3637.0,263.9,0.0,2948.3,0.0,충남
134,1134.3,1018.5,0.0,46.2,0,0,193.9,전주시,976.2,69.7,0.0,23.5,240.1,0.0,18.8,2180.2,976.2,921.6,0.0,921.6,0.0,전북
135,1673.0,411.5,1.1,48.6,0,0,373.8,군산시,362.4,48.6,23.5,0.0,445.9,0.0,49.1,2108.6,387.0,1238.7,11.4,1239.8,11.4,전북
136,684.4,56.2,79.1,0.0,0,0,153.4,익산시,0.0,0.0,0.0,0.0,153.4,0.0,56.2,763.5,79.1,474.8,0.0,553.9,0.0,전북
137,340.8,12.1,0.0,0.0,0,0,38.9,정읍시,0.1,0.0,0.0,0.0,38.9,0.0,12.0,340.9,0.1,289.9,0.0,289.9,0.0,전북
138,38.6,3.9,287.8,0.0,0,0,2.8,남원시,0.0,0.0,0.0,0.0,2.8,0.0,3.9,326.4,287.8,31.9,0.0,319.7,0.0,전북
139,226.7,85.3,0.0,0.0,0,0,1.6,김제시,0.0,0.0,0.1,0.0,1.7,0.0,85.3,226.8,0.1,139.8,0.0,139.8,0.0,전북
